Type,Value,Note
Scheduled task name,Razer Synapse Service Helper,PhantomRelayV2 scheduled task name
Staging directory,%LOCALAPPDATA%\Razer Update,PhantomRelayV2 staging directory
File name,razer_update.log,PhantomRelayV2 log file
SHA256,ee144c883784c635ef84e0ae6a12b03553c1fd65646621f22d08511bd3e6d42a,PhantomRelayV2 persistence script (watchdog) - obfuscated with DAYLIGHT
File name,RzUpdateManager.ps1,PhantomRelayV2 persistence script (watchdog) file name
SHA256,03beb07ce116a2a69f360dd3fab8c3aa55bb42ce580d43f1924642874e388efe,PhantomRelayV2 RAT client script - obfuscated with DAYLIGHT
File name,RzTelemetry.ps1,PhantomRelayV2 RAT client script file name
SHA256,c716dabe228f89e58835d2c93dbaa5719dc77f62c9e84f3e3d54ef82ded621e1,PhantomRelayV2 RAT client script (unobfuscated)
SHA256,286de17c2e8017241bee12b0935ed5e1e5d5216f4311be781ca1a69ad81188b3,PhantomRelayV1 watchdog script (unobfuscated)
SHA256,d814564ab8b905c3b9b7a42e757228d9d30f8ffd4fa6b3c48f4aa7e2b1e44594,PhantomRelayV2 watchdog script (unobfuscated)
Domain name,goodhillsenterprise.com,PhantomRelayLite and PhantomRelayV1 C2
Domain name,ny-car-dealership.it.com,PhantomRelayV1 C2
Domain name,doct0rsim.com,PhantomRelayV1 C2
Domain name,routinesyscheckup.com,PhantomRelayV1 C2
Domain name,serotoninenterprise.com,PhantomRelayV1 C2
Domain name,newstarcommunity.com,PhantomRelayV1 C2
Domain name,jackscommunications.com,PhantomRelayV1 C2
Domain name,fasterscommunications.com,PhantomRelayV1 C2
Domain name,bsnowcommunications.com,PhantomRelayV1 C2
Domain name,highfleetenterprise.com,PhantomRelayV1 C2
Domain name,flyskyenterprise.com,PhantomRelayV1 C2
Domain name,newsolutionsxsenterprise.icu,PhantomRelayV1 C2
Domain name,nycpartnersenterprise.com,PhantomRelayV2 C2
Domain name,chiselworksenterprise.com,PhantomRelayV2 C2
Domain name,newrentalsenterprise.com,PhantomRelayV2 C2
Domain name,bluelagoonaenterprise.com,PhantomRelayV2 C2
Domain name,heltaskeltahenterprise.com,PhantomRelayV2 C2
Domain name,neuromancersolutionsenterprise.icu,PhantomRelayV1 C2
Domain name,newequipmentsolutions.com,PhantomRelayV2 C2
SHA256,b0c07b265c9d9046038ffa48d5b8e17b8ba0791503beba85196cdbe0ac2fcb27,PhantomRelayLite RAT client script (unobfuscated)
File path,C:\ProgramData\AMD\amd.ps1,LegionRelay RAT client file path
File path,C:\ProgramData\BackUp\backup.ps1,LegionRelay RAT client file path
File path,C:\ProgramData\Adobe\dfDgrr3.ps1,LegionRelay RAT client file path
Scheduled task name,Adobe working,LegionRelay RAT scheduled task name
Scheduled task name,BackUp checker,LegionRelay RAT scheduled task name
Scheduled task name,AMD Checker,LegionRelay RAT scheduled task name
SHA256,63047083db26ec6a8aa2d0d008ca4c067855a952a89f9e3e878b2215e26841cf,LegionRelay RAT client (obfuscated with DAYLIGHT)
SHA256,ee87fae14e3cc64d894f0a677af8832f8669f11853374c18b7110df1fc52f4e5,LegionRelay RAT client (unobfuscated)
IP address + port,194.87.128.243:8000,LegionRelay C2
IP address + port,194.87.108.110:8000,LegionRelay C2
IP address + port,89.125.189.118:8000,LegionRelay C2
IP address + port,89.125.189.85:8000,LegionRelay C2
IP address + port,91.149.221.124:8000,LegionRelay C2
URL,t.me/s/sdgsersergser,LegionRelay Telegram C2 dead-drop resolver
SHA256,1d69523a20b9c1180bba6a2cc9959d555e2ee9e78440fd79cfbaf31ad35a09fc,Development: .NET loader (embedded LOOKVALPS script)
SHA256,eb2c32b3d1aed95266b0b75704d4570b37b2d77e6c5d8401122ef4daf762f186,Development: .NET loader (embedded LOOKVALPS script)
SHA256,0005c16f04ce7d5a1a9966069f4a291de5506e77490926d7fb177efa677fe588,Development: .NET loader
SHA256,ccc7f039e1afd55fe8bc767ae688e71e66f162aba0c0d1650face02f15e9c7d0,Development: NSIS setup with cat photo
SHA256,908619929db75b0d2592ba6fb0a65be6c894592907c83f664f3b130108d98d6a,Development: Python-based loader script
